INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AFA","50436","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-15","88.45","82.63","208","187","","","0","SMALL","8306","1982","92","AFA","Y","COSMOS 1408 DEB","1982-092AFA","50436"
"1982-092AFB","50437","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-30","90.40","82.49","300","289","","","0","SMALL","8034","1982","92","AFB","Y","COSMOS 1408 DEB","1982-092AFB","50437"
"1982-092AFC","50438","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-08-23","91.63","82.55","389","320","","","0","SMALL","8152","1982","92","AFC","Y","COSMOS 1408 DEB","1982-092AFC","50438"
"1982-092AFD","50439","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-27","90.25","82.70","307","266","","","0","SMALL","8246","1982","92","AFD","Y","COSMOS 1408 DEB","1982-092AFD","50439"
"1982-092AFE","50440","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-11","90.11","82.58","291","268","","","0","SMALL","8034","1982","92","AFE","Y","COSMOS 1408 DEB","1982-092AFE","50440"
"1982-092AFF","50441","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-29","88.65","82.71","218","198","","","0","SMALL","8045","1982","92","AFF","Y","COSMOS 1408 DEB","1982-092AFF","50441"
"1982-092AFG","50442","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-28","88.83","82.63","226","207","","","0","SMALL","8011","1982","92","AFG","Y","COSMOS 1408 DEB","1982-092AFG","50442"
"1982-092AFH","50443","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-02-15","88.33","82.61","196","188","","","0","SMALL","8328","1982","92","AFH","Y","COSMOS 1408 DEB","1982-092AFH","50443"
"1982-092AFJ","50444","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-01-11","87.60","82.48","161","150","","","0","SMALL","8293","1982","92","AFJ","Y","COSMOS 1408 DEB","1982-092AFJ","50444"
"1982-092AFK","50445","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-09","89.16","82.49","243","223","","","0","SMALL","8306","1982","92","AFK","Y","COSMOS 1408 DEB","1982-092AFK","50445"
